"DATE","BSCNAME","SITENAME","CELLNAME","TRAFFIC_2G","HTRAFFIC_2G","EDL_TRAF","EUL_TRAF","GDL_TRAF","GUL_TRAF","DATA_2G"
"27/05/2025","iHNCG3H","HDG_KMN_LE_NINH","HDG_KMN_LE_NINH_2","0.18","0","1894.46","1570.44","250.69","207.23","3922.82"
"27/05/2025","iHNCG3H","HDG_KMN_LE_NINH","HDG_KMN_LE_NINH_3","0.21","0","3557.48","3446.27","235.17","269.32","7508.24"
"27/05/2025","iHNCG3H","HDG_KMN_LONG_XUYEN_2","HDG_KMN_LONG_XUYEN_2_1","0.83","0","2129.26","1116.33","2179.52","1543.15","6968.25"
"27/05/2025","iHNCG3H","HDG_KMN_LONG_XUYEN_2","HDG_KMN_LONG_XUYEN_2_2","3.35","0.34","26304.71","13625.99","13675.01","9718.5","63324.21"
"27/05/2025","iHNCG3H","HDG_KMN_LONG_XUYEN_2","HDG_KMN_LONG_XUYEN_2_3","0.21","0","4790.16","1570.03","2093.43","1620.65","10074.27"
"27/05/2025","iHNCG3H","HDG_KMN_MINH_TAN_3","HDG_KMN_MINH_TAN_3_4","1.48","0","26967.59","21412.51","8774.52","6706.61","63861.23"
"27/05/2025","iHNCG3H","HDG_KMN_THANG_LONG","HDG_KMN_THANG_LONG_1","1.27","0","24218.64","18599.69","8016.12","3304.17","54138.62"
"27/05/2025","iHNCG3H","HDG_KMN_THANG_LONG","HDG_KMN_THANG_LONG_2","1.11","0","3997.03","2853.2","4695.7","3578.3","15124.22"
"27/05/2025","iHNCG3H","HDG_KMN_THANG_LONG","HDG_KMN_THANG_LONG_3","0.62","0.01","33686.97","14297.36","3713.7","2333.26","54031.3"
"27/05/2025","iHNCG3H","HDG_KMN_THUONG_QUAN","HDG_KMN_THUONG_QUAN_1","0.4","0","7767.55","1737.97","440.76","458.83","10405.11"
"27/05/2025","iHNCG3H","HDG_KMN_THUONG_QUAN","HDG_KMN_THUONG_QUAN_2","0.49","0","5076.69","1264.14","501.87","482.43","7325.14"
"27/05/2025","iHNCG3H","HDG_KMN_THUONG_QUAN","HDG_KMN_THUONG_QUAN_3","1.57","0","77140.45","16355.56","7904.34","5534.44","106934.8"
"27/05/2025","iHNCG3H","HDG_NSH_AN_SON","HDG_NSH_AN_SON_1","2.35","0.25","42243.47","27773.07","12215.83","6901.07","89133.44"
"27/05/2025","iHNCG3H","HDG_NSH_AN_SON","HDG_NSH_AN_SON_2","0.99","0.01","46234.49","35190.79","21708.38","19222.83","122356.48"
"27/05/2025","iHNCG3H","HDG_NSH_AN_SON","HDG_NSH_AN_SON_3","2.35","0.49","4456.56","4737.4","7847.13","5998.7","23039.8"
"27/05/2025","iHNCG3H","HDG_NSH_NAM_SACH_5","HDG_NSH_NAM_SACH_5_4","1.03","0","7586.74","5063.9","477.94","285.91","13414.5"
"27/05/2025","iHNCG3H","HDG_NSH_NAM_SACH_5","HDG_NSH_NAM_SACH_5_5","1.37","0.01","32874.36","14161.12","8718.81","3365.97","59120.25"
"27/05/2025","iHNCG3H","HDG_NSH_NAM_SACH_5","HDG_NSH_NAM_SACH_5_6","1.53","0.01","19091.15","13368.7","1243.06","661.59","34364.5"
"27/05/2025","iHNCG3H","HDG_NSH_NAM_TAN_2","HDG_NSH_NAM_TAN_2_4","0.83","0","6343.38","5923.32","2222.33","1568.47","16057.49"
"27/05/2025","iHNCG3H","HDG_NSH_NAM_TAN_2","HDG_NSH_NAM_TAN_2_5","0.57","0","11552.71","6762.85","1036.11","762.74","20114.41"
"27/05/2025","iHNCG3H","HDG_NSH_NAM_TAN_2","HDG_NSH_NAM_TAN_2_6","0.61","0","333.38","184.45","313.41","242.47","1073.71"
"27/05/2025","iHNCG3H","HDG_NSH_PHU_DIEN","HDG_NSH_PHU_DIEN_1","0.53","0","65496.45","40375.98","4869.06","2964.63","113706.12"
"27/05/2025","iHNCG3H","HDG_NSH_PHU_DIEN","HDG_NSH_PHU_DIEN_2","1.81","0","50953.88","19577.47","5182.23","2567.49","78281.07"
"27/05/2025","iHNCG3H","HDG_NSH_PHU_DIEN","HDG_NSH_PHU_DIEN_3","1.63","0","18510.29","10961.63","2841.28","1850.45","34163.65"
"27/05/2025","iHNCG3H","HDG_NSH_THANH_QUANG_2","HDG_NSH_THANH_QUANG_2_4","1.57","0","8439.97","5532.01","3850.59","2504.14","20326.71"
"27/05/2025","iHNCG3H","HDG_NSH_THANH_QUANG_2","HDG_NSH_THANH_QUANG_2_5","1.47","0","22730.91","14996.22","2683.09","1789.57","42199.79"
"27/05/2025","iHNCG3H","HDG_NSH_THANH_QUANG_2","HDG_NSH_THANH_QUANG_2_6","0.48","0","24729.3","16726.44","672.04","396.11","42523.89"
"27/05/2025","iHNCG3H","HDG_NGG_HONG_PHONG","HDG_NGG_HONG_PHONG_4","0.87","0","21713.24","18786.37","6249.77","2996.89","49746.27"
"27/05/2025","iHNCG3H","HDG_NGG_HONG_PHONG","HDG_NGG_HONG_PHONG_5","0.98","0","5568.12","3736.53","519.47","364.42","10188.55"
"27/05/2025","iHNCG3H","HDG_NGG_HONG_PHONG","HDG_NGG_HONG_PHONG_6","0.7","0","28272.66","17357.15","5557.38","3161.81","54349"
"27/05/2025","iHNCG3H","HDG_THA_THANH_HAI","HDG_THA_THANH_HAI_1","2.6","0.19","12001.88","9726.54","4766.53","3523.9","30018.86"
"27/05/2025","iHNCG3H","HDG_THA_THANH_HAI","HDG_THA_THANH_HAI_2","1","0.04","24263.59","16482.93","5994.85","4889.45","51630.82"
"27/05/2025","iHNCG3H","HDG_THA_THANH_HAI","HDG_THA_THANH_HAI_3","2.25","0.31","51824.88","32379.04","15305.01","13448.76","112957.69"
"27/05/2025","iHNCG3H","HDG_THA_THANH_THUY","HDG_THA_THANH_THUY_4","3.64","0","10035.04","7740.07","5406.93","3742.55","26924.59"
"27/05/2025","iHNCG3H","HDG_THA_THANH_THUY","HDG_THA_THANH_THUY_5","5.33","0.03","12697.55","10485.04","5308.65","3916.85","32408.09"
"27/05/2025","iHNCG3H","HDG_THA_THANH_THUY","HDG_THA_THANH_THUY_6","2.22","0","31265.02","19274.22","3016.48","2078.11","55633.83"
"27/05/2025","iHNCG3H","HDG_TMN_THANH_MIEN","HDG_TMN_THANH_MIEN_1","0.19","0","1903.19","1127.95","2126.38","1877.37","7034.89"
"27/05/2025","iHNCG3H","HDG_TMN_THANH_MIEN","HDG_TMN_THANH_MIEN_2","1.57","0.07","3924.88","3152.92","6375.76","4506.24","17959.79"
"27/05/2025","iHNCG3H","HDG_TMN_THANH_MIEN","HDG_TMN_THANH_MIEN_3","0.24","0","1019.43","844.53","2245.04","1570.6","5679.6"
"27/05/2025","iHNCG3H","HDG_TKY_AN_THANH_3","HDG_TKY_AN_THANH_3_4","0.83","0","6842.51","4002.16","8032.29","8567.08","27444.04"
"27/05/2025","iHNCG3H","HDG_TKY_AN_THANH_3","HDG_TKY_AN_THANH_3_5","1.09","0","8033.42","5314.33","6402.2","3422.57","23172.52"
"27/05/2025","iHNCG3H","HDG_TKY_AN_THANH_3","HDG_TKY_AN_THANH_3_6","1.36","0","9835.82","12380.26","6336.38","3684.19","32236.65"
"27/05/2025","iHNCG3H","HDG_TKY_PHUONG_KY_2","HDG_TKY_PHUONG_KY_2_4","0.74","0","2408.61","1967.25","1122.25","637.54","6135.65"
"27/05/2025","BQNHL1E","QHHL9C","QHHL9C1","1.72","0","33855.5","18257.88","1153.25","1943.5","55210.12"
