"DATE","BSCNAME","SITENAME","CELLNAME","TRAFFIC_2G","HTRAFFIC_2G","EDL_TRAF","EUL_TRAF","GDL_TRAF","GUL_TRAF","DATA_2G"
"25/05/2025","BLATA4H","LATT33","LATT332","0.32","0","2741.83","1443.26","723.49","542.15","5450.72"
"25/05/2025","BLATA4H","LATT33","LATT333","0.38","0","2483.06","2228.48","1848.19","1433.73","7993.46"
"25/05/2025","BLATA4H","LAVH00","LAVH001","0.8","0","4644.3","3696.58","1518.02","611.38","10470.28"
"25/05/2025","BLATA4H","LAVH00","LAVH002","0.02","0","0","0","0","0","0"
"25/05/2025","BLATA4H","LAVH00","LAVH003","1.52","0","2928.49","2097.52","413.6","396.6","5836.21"
"25/05/2025","BLATA4H","LAVH02","LAVH021","0.27","0","2861.2","2294.91","47.65","55.41","5259.17"
"25/05/2025","BLATA4H","LAVH02","LAVH022","0.44","0","1501.89","863.77","196.08","130.15","2691.88"
"25/05/2025","BLATA4H","LAVH05","LAVH051","3.56","0","23187.3","17238.37","1920.8","1304.92","43651.38"
"25/05/2025","BLATA4H","LAVH05","LAVH052","1.94","0","25394.34","21907.44","1720.52","1979.65","51001.94"
"25/05/2025","BLATA4H","LAVH05","LAVH053","0.61","0","7192.63","5467.47","22433.62","7205.95","42299.67"
"25/05/2025","BLATA4H","LAVH09","LAVH091","0.16","0","65.11","33.79","4.8","4.83","108.53"
"25/05/2025","BLATA4H","LAVH09","LAVH092","0.34","0","3359.82","5694.74","101.16","97.95","9253.67"
"25/05/2025","BLATA4H","LAVH09","LAVH093","1.22","0","12.12","17.38","34.02","30.75","94.27"
"25/05/2025","BLATA4H","LAVH10","LAVH101","0.13","0","231.3","106.89","32.18","14","384.37"
"25/05/2025","BLATA4H","LAVH10","LAVH102","0.14","0","800.58","537.66","77.1","49.33","1464.68"
"25/05/2025","BLATA4H","LAVH10","LAVH103","0.21","0","5842.11","4666.25","53.59","37.78","10599.74"
"25/05/2025","BLATA4H","LAVH13","LAVH131","0.12","0","8707.33","5483.33","51.71","18.71","14261.08"
"25/05/2025","BLATA4H","LAVH13","LAVH132","1.1","0","6155.32","5641.62","20287.3","9315.66","41399.9"
"25/05/2025","BLATA4H","LAVH13","LAVH133","0.17","0","233.05","142.26","1195.79","689.09","2260.2"
"25/05/2025","BLATA4H","LAVH14","LAVH141","1.43","0","19890.78","15180.11","3166.1","1873.55","40110.54"
"25/05/2025","BLATA4H","LAVH14","LAVH142","2.03","0","6552.38","5183.75","419.86","1942.29","14098.28"
"25/05/2025","BLATA4H","LAVH14","LAVH143","2.1","0","1059.09","653.58","634.03","2911.37","5258.07"
"25/05/2025","BLATA4H","LAVH16","LAVH161","1.7","0","3579.1","4539.12","11841.76","3720.7","23680.69"
"25/05/2025","BLATA4H","LAVH16","LAVH162","0.47","0","695.47","863.08","8.42","7.11","1574.07"
"25/05/2025","BLATA4H","LAVH16","LAVH163","3.05","0","3449.28","3625.63","209.92","308.82","7593.64"
"25/05/2025","BLATA4H","LAVH19","LAVH191","0.13","0","9299.21","5180.31","128.24","99.49","14707.24"
"25/05/2025","BLATA4H","LAVH19","LAVH192","0.66","0","2678.73","2142.24","1579.31","1172.5","7572.77"
"25/05/2025","BLATA4H","LAVH19","LAVH193","0.4","0","8552.14","4145.28","65.71","56.68","12819.81"
"25/05/2025","BLATA4H","LAVH20","LAVH201","0.23","0","8250","6657.15","896.65","534.23","16338.02"
"25/05/2025","BLATA4H","LAVH20","LAVH202","0.07","0","18289.51","10683.06","39.59","18.03","29030.19"
"25/05/2025","BLATA4H","LAVH20","LAVH203","0.45","0","207.19","80.83","33.67","17.16","338.86"
"25/05/2025","BLATA4H","LAVH21","LAVH211","0.58","0","4457.15","2255.66","58.71","21.55","6793.08"
"25/05/2025","BLATA4H","LAVH21","LAVH212","0.5","0","4270.43","2330.84","236.03","159.51","6996.81"
"25/05/2025","BLATA4H","LAVH21","LAVH213","1.19","0","9659.88","3847.28","13370.48","3818.29","30695.94"
"25/05/2025","BLATA4H","LAVH23","LAVH231","0.03","0","296.54","250.25","0","0","546.78"
"25/05/2025","BLATA4H","LAVH23","LAVH232","0.56","0","4833.15","3939.93","934.49","2158.8","11866.37"
"25/05/2025","BLATA4H","LAVH23","LAVH233","0.17","0","11.25","15","2.57","3.54","32.36"
"25/05/2025","BBPLN1A","BPBL00","BPBL001","1.67","0","10069.2","9167.84","2371.25","4195.89","25804.19"
"25/05/2025","BBPLN1A","BPBL00","BPBL002","3.94","0","18337.08","19646.99","1246.06","1933.86","41163.99"
"25/05/2025","BBPLN1A","BPBL00","BPBL003","3.03","0","1745.41","2392.14","718.88","1628","6484.43"
"25/05/2025","BBPLN1A","BPBL01","BPBL011","1.22","0","872.27","1548.57","69.66","240.21","2730.7"
"25/05/2025","BBPLN1A","BPBL01","BPBL012","0.83","0.03","8164.88","8533.55","151.89","393.64","17243.96"
"25/05/2025","BBPLN1A","BPBL01","BPBL013","0.27","0","2554.55","3057.27","73.35","150.9","5836.07"
"25/05/2025","BBPLN1A","BPBL01","BPBL01W","2.42","0","4123.75","6747.8","914.77","1184.99","12971.32"
"25/05/2025","BBPLN1A","BPBL03","BPBL031","0.25","0","7128.66","9435.14","125.77","207.09","16896.66"
"25/05/2025","BBPLN1A","BPBL03","BPBL032","0.4","0","27.56","186.28","28.81","43.58","286.23"
"25/05/2025","BBPLN1A","BPBL03","BPBL033","0.91","0","4000.38","4051.99","114.59","234.55","8401.51"
"25/05/2025","BBPLN1A","BPBL03","BPBL03W","0.29","0","1789.87","1498.19","278.04","436.46","4002.57"
"25/05/2025","BBPLN1A","BPBL06","BPBL061","0.41","0","3112.52","6048.61","671.89","1114.74","10947.76"
"25/05/2025","BBPLN1A","BPBL06","BPBL062","0.39","0","3065.76","5114.88","1204.57","3659.61","13044.82"
"25/05/2025","BBPLN1A","BPBL06","BPBL063","0.19","0","3093.71","4406.18","82.46","165.34","7747.68"
"25/05/2025","BBPLN1A","BPBL10","BPBL101","0.7","0","99.24","216.17","41.31","86.46","443.18"
"25/05/2025","BBPLN1A","BPBL10","BPBL102","0.53","0","821.34","1092.91","271.57","606.73","2792.55"
"25/05/2025","BBPLN1A","BPBL10","BPBL103","0.31","0","3606.95","3632.78","604.06","985.44","8829.22"
"25/05/2025","BBPLN1A","BPBL10","BPBL10W","0.19","0","1519.89","1492.1","208.64","452.19","3672.81"
"25/05/2025","BBPLN1A","BPBL11","BPBL111","1.8","0","2744.98","3186.56","76","188.53","6196.08"
"25/05/2025","BBPLN1A","BPBL11","BPBL112","0.64","0","618.35","891.98","52.84","94.43","1657.6"
"25/05/2025","BBPLN1A","BPBL11","BPBL113","0.62","0","4558.74","7294.17","150.36","298.13","12301.39"
"25/05/2025","BBPLN1A","BPBL14","BPBL141","0.32","0","1801.95","2075.54","282.81","534.75","4695.05"
"25/05/2025","BBPLN1A","BPBL14","BPBL143","0.3","0.05","1434.59","1677.4","69.98","121.67","3303.64"
"25/05/2025","BBPLN1A","BPBL14","BPBL145","0.02","0","0.48","1.35","4.83","6.49","13.15"
"25/05/2025","BBDTM1N","BPDA00","BPDA001","1.11","0","9571.5","5397.77","1763.41","2106.07","18838.76"
"25/05/2025","BBDTM1N","BPDA00","BPDA002","0.78","0","1931.45","1371.87","761","1100.9","5165.22"
"25/05/2025","BBDTM1N","BPDA00","BPDA003","1.78","0","5416.85","4009.21","833.94","1095.76","11355.76"
